Model,F1,AUC_ROC,Delta_t_mean_s,Delta_t_std_s
Random Forest,0.5314516297359609,0.9566193554288842,-0.2701266055045872,1.4402286442071965
Gradient Boosting,0.5993963644602893,0.9572839560700797,-0.22440615384615398,1.2970687558490248
SVC,0.5887797317504428,0.9560351605146169,-1.624667627118644,2.868184386380002
