Experiment,n_features,Precision,Recall,F1,AUC_ROC,Delta_t_mean,Delta_t_std,Early,Late,Never
All features,56.0,0.7462580149471347,0.6497801831965437,0.6925380410637925,0.9572839560700797,-0.9320982500000002,2.177070160280655,71.0,49.0,0.0
No delta/delta2,28.0,0.6902489575262765,0.5119842567653845,0.5847679163488022,0.9323816844736255,-2.195842105263158,2.9971859814336823,76.0,38.0,6.0
MFCC + basic only,19.0,0.6774287454394549,0.5008376672561864,0.5732550210692513,0.9309386230521707,-2.383803859649123,3.0337521276169204,77.0,37.0,6.0
Basic + delta (no d2),56.0,0.7464685693249349,0.6494544502975208,0.6924099312848699,0.9573718638546488,-0.9320982500000002,2.177070160280655,71.0,49.0,0.0
